eval_set,n,simple_coverage,hybrid_coverage,delta_coverage,simple_accepted_acc,hybrid_accepted_acc,delta_accepted_acc,simple_recall_anam,hybrid_recall_anam,simple_FN_deferred,hybrid_FN_deferred,complexity_defer_rate,tag_policy_defer_rate
val,351,0.698,0.8575,-0.1595,0.8735,0.8638,0.0097,0.9873,0.9884,16,9,0.1595,0.0228
test,730,0.7192,0.8219,-0.1027,0.9162,0.9083,0.0079,0.9718,0.9689,39,23,0.1219,0.0123
hard_test,355,0.6085,0.8563,-0.2478,0.8194,0.773,0.0464,0.9355,0.8553,104,31,0.2535,0.0338
blind_test,40,0.8,0.875,-0.075,0.9062,0.9143,-0.0081,0.9,0.9,2,2,0.075,0.025
entity_held_out,100,0.63,0.79,-0.16,0.873,0.8608,0.0122,0.7895,0.7917,10,5,0.19,0.0
extended_eval,101,0.5842,0.6832,-0.099,0.7627,0.7826,-0.0199,0.0,0.0,0,0,0.1188,0.0297
