eval_set,n,simple_coverage,hybrid_coverage,delta_coverage,simple_accepted_acc,hybrid_accepted_acc,delta_accepted_acc,simple_recall_anam,hybrid_recall_anam,simple_FN_deferred,hybrid_FN_deferred,complexity_defer_rate,tag_policy_defer_rate
val,351,0.4672,0.6268,-0.1596,0.9451,0.9364,0.0087,0.9831,0.9867,36,20,0.1595,0.0598
test,730,0.5137,0.6041,-0.0904,0.9627,0.9592,0.0035,0.9928,0.9873,78,58,0.1219,0.037
hard_test,355,0.4676,0.7493,-0.2817,0.8554,0.7932,0.0622,0.959,0.8768,137,56,0.2535,0.0901
blind_test,40,0.575,0.725,-0.15,0.9565,0.9655,-0.009,1.0,1.0,6,4,0.075,0.1
entity_held_out,100,0.35,0.43,-0.08,1.0,0.9767,0.0233,1.0,1.0,15,15,0.19,0.02
extended_eval,101,0.2574,0.3465,-0.0891,0.8077,0.7714,0.0363,0.0,0.0,0,0,0.1188,0.0396
