eval_set,n,current_coverage,current_recall_anam,current_acc_simple_faq,current_acc_simple_booking,current_acc_simple_symptom,selected_coverage,selected_recall_anam,selected_acc_simple_faq,selected_acc_simple_booking,selected_acc_simple_symptom,delta_coverage
val,351,0.567,0.9844,1.0,1.0,1.0,0.5869,0.9844,1.0,1.0,1.0,0.0199
test,730,0.5671,0.9867,0.9412,1.0,1.0,0.5877,0.9867,0.9333,1.0,1.0,0.0205
hard_test,355,0.6592,0.8933,0.4,0.3636,0.9615,0.6817,0.8833,0.3333,0.3448,0.9615,0.0225
blind_test,40,0.625,1.0,1.0,1.0,0.0,0.65,1.0,1.0,1.0,0.0,0.025
extended_eval,101,0.3069,0.0,,0.0,,0.3168,0.0,1.0,0.0,,0.0099
