eval_set,router,n,coverage,accepted_accuracy,accepted_recall_anam,defer_rate,complexity_defer_rate,tag_policy_defer_rate,hybrid_defer_rate,false_negative_deferred
val,SimpleRouter[ComplexityGate->B4],351,0.4672,0.9451,0.9831,0.5328,0.1595,0.0598,0.3134,36
test,SimpleRouter[ComplexityGate->B4],730,0.5137,0.9627,0.9928,0.4863,0.1219,0.037,0.3274,78
hard_test,SimpleRouter[ComplexityGate->B4],355,0.4676,0.8554,0.959,0.5324,0.2535,0.0901,0.1887,137
blind_test,SimpleRouter[ComplexityGate->B4],40,0.575,0.9565,1.0,0.425,0.075,0.1,0.25,6
entity_held_out,SimpleRouter[ComplexityGate->B4],100,0.35,1.0,1.0,0.65,0.19,0.02,0.44,15
extended_eval,SimpleRouter[ComplexityGate->B4],101,0.2574,0.8077,0.0,0.7426,0.1188,0.0396,0.5842,0
