baseline,eval_set,metric,fraction,mean,std,n_runs
B2.1_bge-m3_svc,safety_set,macro_f1,0.25,0.274112,0.046025547916347484,5
B2.1_bge-m3_svc,safety_set,macro_f1,0.5,0.289981,0.046790163822111146,5
B2.1_bge-m3_svc,safety_set,macro_f1,0.75,0.323471,0.0,5
B2.1_bge-m3_svc,safety_set,macro_f1,1.0,0.323471,0.0,5
B2.1_bge-m3_svc,safety_set,recall_anamnesis,0.1,0.9264365999999999,0.03311470853412419,5
B2.1_bge-m3_svc,safety_set,recall_anamnesis,0.25,0.935632,0.019233618783265898,5
B2.1_bge-m3_svc,safety_set,recall_anamnesis,0.5,0.9333334000000001,0.018887086522277552,5
B2.1_bge-m3_svc,safety_set,recall_anamnesis,0.75,0.9425290000000001,0.0,5
B2.1_bge-m3_svc,safety_set,recall_anamnesis,1.0,0.9425290000000001,0.0,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.1,0.9264365999999999,0.03311470853412419,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.25,0.935632,0.019233618783265898,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.5,0.9333334000000001,0.018887086522277552,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.75,0.9425290000000001,0.0,5
B2.1_bge-m3_svc,safety_set,recall_urgent,1.0,0.9425290000000001,0.0,5
B2.1_bge-m3_svc,test,macro_f1,0.1,0.697375,0.04801299423593578,5
B2.1_bge-m3_svc,test,macro_f1,0.25,0.7751812,0.045552242949167786,5
B2.1_bge-m3_svc,test,macro_f1,0.5,0.8448705999999999,0.005411503608055713,5
B2.1_bge-m3_svc,test,macro_f1,0.75,0.8643584000000001,0.013565960611029347,5
B2.1_bge-m3_svc,test,macro_f1,1.0,0.8799949999999999,0.0,5
B2.1_bge-m3_svc,test,recall_anamnesis,0.1,0.8370369999999999,0.08901655136265388,5
B2.1_bge-m3_svc,test,recall_anamnesis,0.25,0.8314816,0.057040244168481594,5
B2.1_bge-m3_svc,test,recall_anamnesis,0.5,0.8453706000000001,0.024628497260287686,5
B2.1_bge-m3_svc,test,recall_anamnesis,0.75,0.8564816000000001,0.015354691361274557,5
B2.1_bge-m3_svc,test,recall_anamnesis,1.0,0.851852,0.0,5
B2.1_bge-m3_svc,test,recall_urgent,0.1,0.41176500000000005,0.0,5
B2.1_bge-m3_svc,test,recall_urgent,0.25,0.41176500000000005,0.0,5
B2.1_bge-m3_svc,test,recall_urgent,0.5,0.41176500000000005,0.0,5
B2.1_bge-m3_svc,test,recall_urgent,0.75,0.41176500000000005,0.0,5
B2.1_bge-m3_svc,test,recall_urgent,1.0,0.41176500000000005,0.0,5
