eval_set,router,n,coverage,accepted_accuracy,accepted_recall_anam,defer_rate,false_negative_deferred,rule_accept_count,accepted_subset_accuracy,accepted_subset_macro_f1
val,B4_hybrid[B1.1_tfidf_lr+B2.1_bge-m3_svc],351,0.6268,0.9364,0.9867,0.3732,20,5,0.9364,0.885
test,B4_hybrid[B1.1_tfidf_lr+B2.1_bge-m3_svc],730,0.6041,0.9592,0.9873,0.3959,58,17,0.9592,0.9317
hard_test,B4_hybrid[B1.1_tfidf_lr+B2.1_bge-m3_svc],355,0.7493,0.7932,0.8768,0.2507,56,52,0.7932,0.6175
blind_test,B4_hybrid[B1.1_tfidf_lr+B2.1_bge-m3_svc],40,0.725,0.9655,1.0,0.275,4,1,0.9655,0.9686
entity_held_out,B4_hybrid[B1.1_tfidf_lr+B2.1_bge-m3_svc],100,0.43,0.9767,1.0,0.57,15,0,0.9767,0.9626
extended_eval,B4_hybrid[B1.1_tfidf_lr+B2.1_bge-m3_svc],101,0.3465,0.7714,0.0,0.6535,0,0,0.7714,0.2177
