baseline,n_samples,n_urgent,recall_urgent,false_faq_for_anamnesis,false_negative_urgent,misrouted_to,latency_ms,eval_set
B0_rules @ safety_set,87,87,0.7471,0.0,22,{'unsupported': 22},0.02,safety_set
B1.1_tfidf_lr @ safety_set,87,87,0.9195,0.0575,7,"{'faq': 5, 'booking': 1, 'unsupported': 1}",0.03,safety_set
B1.3_fasttext @ safety_set,87,87,0.8506,0.0575,13,"{'booking': 6, 'unsupported': 2, 'faq': 5}",0.0,safety_set
B2.1_bge-m3_svc @ safety_set,87,87,0.931,0.0345,6,"{'booking': 2, 'faq': 3, 'unsupported': 1}",3.29,safety_set
B2.5_e5-small_svc @ safety_set,87,87,0.9195,0.0345,7,"{'faq': 3, 'unsupported': 2, 'booking': 2}",0.6,safety_set
